sp	habitat
OG0013764	BPLI1	Marine
OG0013765	BPLI1	Marine
OG0013766	BPLI1	Marine
OG0013767	BPLI1	Marine
OG0013768	BPLI1	Marine
OG0013769	BPLI1	Marine
OG0013770	BPLI1	Marine
OG0013771	BPLI1	Marine
OG0013773	BPLI1	Marine
OG0013797	CPLI1	NonMarine
OG0013803	ECHI1	NonMarine
OG0013813	LSTA1	NonMarine
OG0013814	MCOR1	Marine
OG0013815	MCOR1	Marine
OG0013816	MCOR1	Marine
OG0013817	MCOR1	Marine
OG0013818	MCOR1	Marine
OG0013819	MCOR1	Marine
OG0013820	MCOR1	Marine
OG0013821	MHON1	Marine
OG0013822	MMAR1	NonMarine
OG0013823	MMAR1	NonMarine
OG0013824	PPAC1	NonMarine
OG0013835	TLIN1	Marine
OG0013836	TLIN1	Marine
OG0013837	VINF1	Marine
OG0013846	ABIP1	NonMarine
OG0013950	ADUX1	Marine
OG0013977	AIMM1	NonMarine
OG0014004	BPLA1	Marine
OG0014009	MCOR1	Marine
OG0014015	CTEL1	Marine
OG0014030	BPLA1	Marine
OG0014039	BPLI1	Marine
OG0014040	BPLI1	Marine
OG0014041	BPLI1	Marine
OG0014042	BPLI1	Marine
OG0014044	BPLI1	Marine
OG0014045	BPLI1	Marine
OG0014071	CPLI1	NonMarine
OG0014079	CSQU1	Marine
OG0014081	CTEL1	Marine
OG0014083	CTEL1	Marine
OG0014084	CTEL1	Marine
OG0014087	ECHI1	NonMarine
OG0014096	LMAX1	NonMarine
OG0014097	LNYA1	NonMarine
OG0014102	LSTA1	NonMarine
OG0014103	LSTA1	NonMarine
OG0014104	MCOR1	Marine
OG0014105	MCOR1	Marine
OG0014106	MCOR1	Marine
OG0014107	MCOR1	Marine
OG0014108	MCOR1	Marine
OG0014110	MCOR1	Marine
OG0014111	MCOR1	Marine
OG0014113	MFRU1	NonMarine
OG0014114	MMAR1	NonMarine
OG0014115	MMAR1	NonMarine
OG0014116	MMAR1	NonMarine
OG0014117	MMAR1	NonMarine
OG0014118	MMAR1	NonMarine
OG0014120	NMIR1	Marine
OG0014121	NMIR1	Marine
OG0014123	OFLO1	Marine
OG0014124	OSIN1	Marine
OG0014126	PFUC1	Marine
OG0014127	PSOL1	NonMarine
OG0014133	TLIN1	Marine
OG0014134	TLIN1	Marine
OG0014135	TLIN1	Marine
OG0014141	ABIP1	NonMarine
OG0014347	BGON1	NonMarine
OG0014366	BPLI1	Marine
OG0014367	BPLI1	Marine
OG0014368	BPLI1	Marine
OG0014369	BPLI1	Marine
OG0014371	BPLI1	Marine
OG0014372	BPLI1	Marine
OG0014373	BPLI1	Marine
OG0014374	BPLI1	Marine
OG0014375	BPLI1	Marine
OG0014411	CTEL1	Marine
OG0014412	CTEL1	Marine
OG0014414	CTEL1	Marine
OG0014415	CTEL1	Marine
OG0014430	LSTA1	NonMarine
OG0014431	LSTA1	NonMarine
OG0014432	MACO1	NonMarine
OG0014434	MCOR1	Marine
OG0014436	MCOR1	Marine
OG0014437	MCOR1	Marine
OG0014438	MCOR1	Marine
OG0014439	MCOR1	Marine
OG0014440	MCOR1	Marine
OG0014442	MHON1	Marine
OG0014443	MMAR1	NonMarine
OG0014445	NMIR1	Marine
OG0014446	NMIR1	Marine
OG0014448	PCAN1	NonMarine
OG0014449	PFUC1	Marine
OG0014450	PFUC1	Marine
OG0014451	PFUC1	Marine
OG0014452	PULY1	Marine
OG0014459	SSUL1	Marine
OG0014460	SSUL1	Marine
OG0014461	SSUL1	Marine
OG0014463	TLIN1	Marine
OG0014464	ABIP1	NonMarine
OG0014607	ACRI1	Marine
OG0014640	AENI1	Marine
OG0014666	AIMM1	NonMarine
OG0014700	NMIR1	Marine
OG0014710	BGLA1	NonMarine
OG0014722	LFLA1	NonMarine
OG0014725	BPLI1	Marine
OG0014726	GTOL1	Marine
OG0014730	BPLA1	Marine
OG0014739	BPLI1	Marine
OG0014740	BPLI1	Marine
OG0014741	BPLI1	Marine
OG0014742	BPLI1	Marine
OG0014743	BPLI1	Marine
OG0014744	BPLI1	Marine
OG0014745	BPLI1	Marine
OG0014746	BPLI1	Marine
OG0014747	BPLI1	Marine
OG0014748	BPLI1	Marine
OG0014749	BPLI1	Marine
OG0014750	BPLI1	Marine
OG0014751	BPLI1	Marine
OG0014752	BPLI1	Marine
OG0014796	CTEL1	Marine
OG0014797	CTEL1	Marine
OG0014798	CTEL1	Marine
OG0014799	CTEL1	Marine
OG0014801	CTEL1	Marine
OG0014814	FSAG1	Marine
OG0014817	GTOL1	Marine
OG0014828	LHYA1	Marine
OG0014829	LHYA1	Marine
OG0014833	LSTA1	NonMarine
OG0014834	LSTA1	NonMarine
OG0014835	LSTA1	NonMarine
OG0014839	MCOR1	Marine
OG0014840	MCOR1	Marine
OG0014841	MCOR1	Marine
OG0014842	MCOR1	Marine
OG0014843	MCOR1	Marine
OG0014844	MCOR1	Marine
OG0014846	MCOR1	Marine
OG0014847	MCOR1	Marine
OG0014848	MCOR1	Marine
OG0014849	MCOR1	Marine
OG0014850	MCOR1	Marine
OG0014851	MCOR1	Marine
OG0014852	MCOR1	Marine
OG0014853	MCOR1	Marine
OG0014855	MFOD1	Marine
OG0014856	MFRU1	NonMarine
OG0014857	MFRU1	NonMarine
OG0014858	MHON1	Marine
OG0014860	MHON1	Marine
OG0014862	MMAR1	NonMarine
OG0014863	MMAR1	NonMarine
OG0014864	NMIR1	Marine
OG0014865	NMIR1	Marine
OG0014866	NMIR1	Marine
OG0014867	NMIR1	Marine
OG0014869	PFUC1	Marine
OG0014882	SSUL1	Marine
OG0014883	TLIM1	Marine
OG0014885	TLIN1	Marine
OG0014886	TLIN1	Marine
OG0014895	ABIP1	NonMarine
OG0015071	AENT2	Marine
OG0015133	SBRO1	Marine
OG0015136	CTEL1	Marine
OG0015139	TLIN1	Marine
OG0015142	GTOL1	Marine
OG0015147	MYES1	Marine
OG0015159	BGLA1	NonMarine
OG0015173	BPLA1	Marine
OG0015176	BPLA1	Marine
OG0015178	BPLA1	Marine
OG0015187	BPLI1	Marine
OG0015188	BPLI1	Marine
OG0015189	BPLI1	Marine
OG0015190	BPLI1	Marine
OG0015191	BPLI1	Marine
OG0015192	BPLI1	Marine
OG0015193	BPLI1	Marine
OG0015194	BPLI1	Marine
OG0015195	BPLI1	Marine
OG0015197	BPLI1	Marine
OG0015200	BPLI1	Marine
OG0015202	BPLI1	Marine
OG0015203	BPLI1	Marine
OG0015243	CRVI1	Marine
OG0015248	CTEL1	Marine
OG0015251	CTEL1	Marine
OG0015255	DROS1	NonMarine
OG0015258	ECHL1	Marine
OG0015263	FSAG1	Marine
OG0015268	GTOL1	Marine
OG0015269	GTOL1	Marine
OG0015273	HBRA1	Marine
OG0015274	MCOR1	Marine
OG0015276	LFLA1	NonMarine
OG0015278	LHYA1	Marine
OG0015279	LMAX1	NonMarine
OG0015281	LMAX1	NonMarine
OG0015287	LSTA1	NonMarine
OG0015292	MCOR1	Marine
OG0015293	MCOR1	Marine
OG0015294	MCOR1	Marine
OG0015295	MCOR1	Marine
OG0015296	MCOR1	Marine
OG0015297	MCOR1	Marine
OG0015298	MCOR1	Marine
OG0015299	MCOR1	Marine
OG0015300	MCOR1	Marine
OG0015301	MCOR1	Marine
OG0015302	MCOR1	Marine
OG0015303	MCOR1	Marine
OG0015304	MFRU1	NonMarine
OG0015305	MHON1	Marine
OG0015308	NMIR1	Marine
OG0015309	NMIR1	Marine
OG0015310	NMIR1	Marine
OG0015316	PBUC1	Marine
OG0015317	PFUC1	Marine
OG0015318	PFUC1	Marine
OG0015320	PSOL1	NonMarine
OG0015321	PSOL1	NonMarine
OG0015325	SGLO1	Marine
OG0015331	SSUL1	Marine
OG0015335	ABIP1	NonMarine
OG0015505	ADUX1	Marine
OG0015506	ADUX1	Marine
OG0015598	MSWE1	Marine
OG0015599	MCOR1	Marine
OG0015618	BPLA1	Marine
OG0015620	BPLA1	Marine
OG0015626	BPLA1	Marine
OG0015636	BPLI1	Marine
OG0015637	BPLI1	Marine
OG0015639	BPLI1	Marine
OG0015640	BPLI1	Marine
OG0015642	BPLI1	Marine
OG0015643	BPLI1	Marine
